TradeId,Expiry,CP,2weeks2Mat,Strike,LocalCap,Book,Notional,PresentValueT0,assetId,deltaT0,gammaT0,vegaT0,PresentValueT1,deltaT1,gammaT1,vegaT1,dPx,ddelta,dgamma,dvega
878508,2024-12-31,ZTES,99,1330.831,12,AXALIAB,10000000,3081179.536,.RUT,"1,462 ",-4.00,-101588.12,3069579.31,1436.71,-3.89,-117787.82,0.001160023,2.50872E-06,-1.10291E-08,0.00161997
881951,2024-01-17,ZTES,74,1467.249,9.7,AXALIAB,10000000,1973231.781,.RUT,"1,477 ",-4.18,-94427.73,1966729.83,1436.47,-2.78,-95609.66,0.000650195,4.09003E-06,-1.39842E-07,0.000118193
881953,2025-01-15,ZTES,100,1467.249,12,AXALIAB,10000000,2882639.536,.RUT,"1,804 ",-5.60,-111832.32,2887965.00,1735.42,-4.12,-111382.07,-0.000532547,6.82129E-06,-1.4784E-07,-4.50253E-05
885219,2024-01-31,ZTES,75,1505.625,9.2,AXALIAB,10000000,1771554.967,.RUT,"1,409 ",-2.12,-101178.02,1787381.15,1398.04,-2.61,-96539.20,-0.001582618,1.05315E-06,4.91303E-08,-0.000463882
885221,2025-02-05,ZTES,102,1505.625,11.5,AXALIAB,10000000,2657605.686,.RUT,"1,705 ",-5.31,-108444.93,2684939.30,1703.21,-3.52,-115550.89,-0.002733362,1.57848E-07,-1.78685E-07,0.000710597
887680,2024-02-14,ZTES,76,1575.547,9.2,AXALIAB,10000000,1419297.055,.RUT,"1,612 ",-2.50,-95293.91,1419410.22,1598.67,-2.45,-93235.41,-1.13165E-05,1.34247E-06,-5.20968E-09,-0.00020585
887682,2025-02-19,ZTES,103,1575.547,11,AXALIAB,10000000,1900367.133,.RUT,"1,820 ",0.70,-106923.46,1929100.22,1851.42,-9.83,-104684.05,-0.002873309,-3.14254E-06,1.0525E-06,-0.000223941
890613,2024-03-06,ZTES,78,1523.629,9.6,AXALIAB,10000000,827743.3829,.RUT,"1,440 ",-2.46,-85398.77,837038.86,1441.57,-1.94,-85329.94,-0.000929548,-1.73336E-07,-5.16547E-08,-6.88326E-06
890614,2025-03-05,ZTES,104,1523.629,11,AXALIAB,10000000,1218690.551,.RUT,"1,590 ",-6.73,-110057.05,1264244.07,1551.75,1.61,-94596.14,-0.004555352,3.80341E-06,-8.33663E-07,-0.001546092
894011,2024-03-20,ZTES,79,1562.412,9.6,AXALIAB,10000000,-2256183.826,.RUT,(1),0.01,-59620.84,-2243519.50,0.64,0.00,-58409.80,-0.001266432,-1.30869E-07,1.43073E-09,-0.000121104
894013,2025-03-19,ZTES,105,1562.412,11.5,AXALIAB,10000000,-1841676.731,.RUT,4 ,1.33,-64532.45,-1866703.83,24.19,-1.47,-67566.91,0.00250271,-2.01032E-06,2.79758E-07,0.000303447
